post,roast,process,bid,title,ratio,bloomRatio,bloomDuration,bloomTemperature,ssPulsesNumber,ssPulsesInterval,ssPulseTemperatures,batchPulsesNumber,batchPulsesInterval,batchPulseTemperatures
/blogs/brew-talks/fellows-take-on-a-m-o-c-colombia-rosado-brew-recipe,,,QQ0r,"A.M.O.C., Colombia Rosado",15.5,3,30,92,4,23,"[92, 91, 90, 90]",4,30,"[92, 91, 90, 90]"
/blogs/brew-talks/fellows-take-on-anasora-guji-by-medici-brew-guide,,,375q,"Medici, Anasora Guji",16,2,30,96,3,23,"[96, 96, 96]",2,30,"[96, 96]"
/blogs/brew-talks/fellows-take-on-andres-cardona-purple-honey-by-kos-brew-recipe,,honey,8bA6,Andres Cardona Purple Honey KOS,14.5,3,45,89,3,23,"[92.5, 92.5, 90.5]",3,30,"[92.5, 91.5, 91]"
/blogs/brew-talks/fellows-take-on-andres-martinez-blackberry-co-ferment-by-mom-n-em-brew-recipe,,co ferment,pYLi,"Mom 'n 'Em, Andres Martinez Blackberry Co-ferment",16,2.5,45,97,3,30,"[95, 94, 92]",3,30,"[95, 94, 93]"
/blogs/brew-talks/fellows-take-on-andres-martinez-gesha-from-hydrangea-brew-recipe,,washed,5bmP,Andres Martinez Gesha,15.5,2,45,90,3,30,"[92, 88, 84]",1,30,[90]
/blogs/brew-talks/fellows-take-on-anthem-natural-geisha-brew-recipe,,natural,G3rt,"Savage Coffees, Anthem Geisha",16.5,3,40,93,3,30,"[93, 93, 91]",4,35,"[93, 93, 92, 91]"
/blogs/brew-talks/fellows-take-on-aponte-honey-by-prodigal-coffee-brew-recipe,,honey,ZH4Z,"Prodigal, Aponte Honey",17,3,30,96,3,23,"[93, 93, 93]",2,1,"[93, 92.5]"
/blogs/brew-talks/fellows-take-on-april-coffee-roasters-guatemala-sp-brew-recipe,,,aEeN,"April, Guatemala SP",16,2,35,96,3,23,"[96, 96, 96]",1,30,[96]
/blogs/brew-talks/fellows-take-on-armando-leivas-dark-roast-by-kos-brew-recipe,dark,,xzIE,Armando Leivas Dark Roast,14,1.5,25,88,3,23,"[90.5, 90.5, 87.5]",3,30,"[90.5, 90.5, 87.5]"
/blogs/brew-talks/fellows-take-on-bird-rock-coffee-roasters-little-italy-blend-brew-recipe,dark,,Uxhy,"Bird Rock, Little Italy",16,2,30,99,3,23,"[85, 85, 85]",3,30,"[85, 85, 85]"
/blogs/brew-talks/fellows-take-on-black-sails-dark-roast-brew-recipe,dark,,At88,Timeless Black Sails,15,2,30,90.55,3,30,"[91.66, 91.66, 91.66]",3,30,"[91.66, 91.66, 91.66]"
/blogs/brew-talks/fellows-take-on-black-white-coffee-roasters-esteban-zamora-cinnamon-anaerobic-brew-recipe,,,B56N,Esteban Zamora Cinnamon Anaerobic Black & White,14,3,40,95.5,3,22,"[95.5, 95.5, 95.5]",1,30,[95.5]
/blogs/brew-talks/fellows-take-on-black-white-painkiller-brew-recipe-1,,,bue0,"Black & White, Painkiller",15,3,30,79.5,2,15,"[96, 94]",2,22,"[96, 94]"
/blogs/brew-talks/fellows-take-on-black-white-x-brandywine-back-to-school-coffee-box-brew-recipe,,,W1S1,"Black & White x Brandywine, PB&J",15,3,35,93,3,23,"[90, 88, 86]",4,30,"[90, 88, 86, 85]"
/blogs/brew-talks/fellows-take-on-black-white-x-brandywine-back-to-school-coffee-box-brew-recipe,,,jt1t,"Black & White x Brandywine, Juice Box",15,3,35,93,3,23,"[89, 87, 85]",4,30,"[89, 87, 85, 84]"
/blogs/brew-talks/fellows-take-on-blendin-coffee-club-burundi-turaco-light-brew-recipe,dark,washed,JvA9,"BlendIn, Burundi Turaco Light",15,2.5,40,93,3,30,"[92, 91, 90]",6,30,"[92, 91.5, 91, 90.5, 90, 89.5]"
/blogs/brew-talks/fellows-take-on-blendin-coffee-club-burundi-turaco-medium-dark-brew-recipe,dark,washed,leAM,"BlendIn, Burundi Turaco Medium-Dark",14,2,40,92,3,30,"[91, 90, 89]",6,30,"[91, 90.5, 90, 89.5, 89, 88.5]"
/blogs/brew-talks/fellows-take-on-boon-boona-mulugeta-muntasha-brew-recipe,,natural,tnO5,Mulugeta Muntasha,16,3,45,87.5,3,23,"[87.5, 87.5, 87.5]",3,30,"[87.5, 87.5, 87.5]"
/blogs/brew-talks/fellows-take-on-brandywine-felloween-v-brew-recipe,,anaerobic,tPv0,"Brandywine, Felloween V",16,2,35,96,3,30,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-brandywine-haiku-while-you-brew-rwanda-kanzu-natural-brew-guide,,,Ltbb,"Brandywine, Haiku While You Brew",16.5,3,30,96,2,30,"[96, 96]",1,30,[96]
/blogs/brew-talks/fellows-take-on-brandywine-rwanda-cyesha-naturall-brew-guide,,natural,JZxx,BCR Cyesha Nat,16.5,3,30,95,2,30,"[95, 95]",1,30,[95]
/blogs/brew-talks/fellows-take-on-broadcast-rafael-vinhal-pina-colada-brew-recipe,,co fermented,aI6k,"Broadcast, Rafael Vinhal Pina Colada",15,3,30,80,2,15,"[96, 94]",2,22,"[96, 94]"
/blogs/brew-talks/fellows-take-on-bukeye-by-sey-brew-recipe,,washed,mxdr,Burundi Heza + Bukeye SEY,18,3,40,97,3,30,"[97, 97, 97]",3,35,"[97, 97, 97]"
/blogs/brew-talks/fellows-take-on-burundi-remera-by-flower-childi-brew-recipe,,,67Sr,"Flower Child, Burundi Remera",17,2,60,99,5,30,"[99, 99, 99, 99, 99]",5,30,"[99, 99, 99, 99, 99]"
/blogs/brew-talks/fellows-take-on-candy-hearts-by-black-white-coffee-roasters-brew-recipe,,co fermented,yZhI,"Black & White, Candy Hearts",16,3,30,93,2,23,"[95, 92]",2,30,"[95, 92]"
/blogs/brew-talks/fellows-take-on-cat-cloud-carlos-pola-brew-recipe,,natural,iY0g,"Cat & Cloud, El Salvador Carlos Pola",16.5,2,30,96.5,3,23,"[98, 96.5, 96.5]",2,30,"[98, 96.5]"
/blogs/brew-talks/fellows-take-on-cherry-pick-by-yeri-coffee-brew-recipe,,anaerobic,MKoW,"Yeri, Cherry Pick",15,2.5,35,95,3,23,"[94, 94, 93]",3,30,"[94, 94, 93]"
/blogs/brew-talks/fellows-take-on-coava-coffee-roasters-ethiopia-girma-sentayehu-brew-recipe,,washed,rzxc,"Coava, Ethiopia Girma Sentayeho",15,2,40,95.5,2,15,"[96.5, 96]",4,13,"[95.5, 96, 96.5, 95.5]"
/blogs/brew-talks/fellows-take-on-coffee-collective-kenya-kieni-ab-brew-guide,,,ovuq,"Coffee Collective, Kenya Kieni AB",15.5,2,40,94,3,23,"[94, 94, 94]",4,30,"[94, 94, 94, 94]"
/blogs/brew-talks/fellows-take-on-colombia-asobombo-by-bird-rock-brew-recipe,,,gKYa,"Bird Rock, Colombia Asobombo",16,2.5,40,96,3,23,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-colombia-by-kafiex-brew-recipe,dark,,KCN9,"Kafiex, Colombia Dark Roast",15,3,40,93.5,3,30,"[90.5, 87.5, 85]",4,25,"[87, 87, 85, 85]"
/blogs/brew-talks/fellows-take-on-colombia-el-diviso-estate-by-stereoscope-brew-recipe,,anaerobic,ALcT,"Broadsheet, Jorge Rojas La Roca",16,3,45,95,3,30,"[94, 92, 90]",3,30,"[94, 92, 90]"
/blogs/brew-talks/fellows-take-on-colombia-el-diviso-estate-by-stereoscope-brew-recipe,,anaerobic,YeVD,"Stereoscope, Colombia El Diviso",16,3,45,95,3,30,"[94, 92, 90]",3,30,"[94, 92, 90]"
/blogs/brew-talks/fellows-take-on-colombia-finca-milan-by-tanat-brew-recipe,,,Ig4y,"Tanat, Colombia Finca Milan",17,3,45,99,3,23,"[97, 97, 97]",4,30,"[97, 97, 97, 97]"
/blogs/brew-talks/fellows-take-on-colombia-huila-asprotimana-womens-coffee-brew-recipe,,,rqyy,Timeless Colombia,16,2,30,93.33,3,25,"[93.33, 93.33, 93.33]",3,30,"[93.33, 93.33, 93.33]"
/blogs/brew-talks/fellows-take-on-colombia-la-fuente-by-koppi-brew-recipe,,,eeO4,"Koppi, Colombia Finca la Fuente",16.5,3,30,99,4,30,"[99, 99, 99, 99]",5,35,"[99, 99, 99, 99, 99]"
/blogs/brew-talks/fellows-take-on-colombia-young-producers,,natural,rqv7,"Dessert Oasis, Colombia Young Producers",17,3,45,92.5,3,23,"[92.5, 92.5, 92.5]",5,30,"[92.5, 92.5, 92.5, 92.5, 92.5]"
/blogs/brew-talks/fellows-take-on-costa-rica-finca-ines-semi-washed-geisha-by-loquat-brew-guide,,washed,Oas4,"Loquat, Costa Rica Finca Ines Semi-Washed Geisha",16,2,30,92,2,30,"[92, 92]",2,30,"[92, 92]"
/blogs/brew-talks/fellows-take-on-costa-rica-san-roque-semi-washed-by-loquat-brew-guide,,washed,pRZe,"Loquat, Costa Rica San Roque Semi-washed",16,2,30,91.5,2,30,"[91.5, 91.5]",2,30,"[91, 91]"
/blogs/brew-talks/fellows-take-on-counter-culture-cueva-de-los-llanos-brew-guide,,washed,3XKJ,"Counter Culture, Cueva de los Llanos",17,2.5,45,96,4,23,"[96, 94, 94, 94]",2,30,"[96, 96]"
/blogs/brew-talks/fellows-take-on-dak-coffee-roasters-panettone-brew-recipe,,co fermented,N5tV,"DAK, Panettone",17,2,30,94,3,23,"[92, 91, 89]",3,30,"[93, 92, 89]"
/blogs/brew-talks/fellows-take-on-dark-matter-coffee-sin-cafeina-decaf-brew-guide,,,ukuu,Decaf,14,2,5,96.11,2,60,"[96.11, 96.11]",3,30,"[96.11, 96.11, 96.11]"
/blogs/brew-talks/fellows-take-on-dead-reckoning-by-corvus-brew-recipe,,natural,uP77,"Corvus, Dead Reckoning Blend",16,2.5,30,96,10,10,"[92, 92, 92, 92, 92, 92, 92, 92, 92, 92]",10,10,"[92.5, 92.5, 92.5, 92.5, 92.5, 92.5, 92.5, 92.5, 92.5, 92.5]"
/blogs/brew-talks/fellows-take-on-decaf-colombia-el-vergel-pink-bourbon-by-equator-coffees-brew-recipe,,honey processed,0CLf,"Equator, Decaf Colombia El Vergel Pink Bourbon",15.5,2.5,32,98,3,23,"[98, 97, 96]",5,30,"[98, 97, 96, 95, 94]"
/blogs/brew-talks/fellows-take-on-decaf-divino-by-flower-child-brew-recipe-1,,,xGcM,"Flower Child, Decaf Divino",17,3,60,99,5,23,"[99, 98, 98, 98, 98]",5,30,"[99, 98, 98, 98, 98]"
/blogs/brew-talks/fellows-take-on-decaf-rwanda-nyamyumba-natural-by-equator-brew-recipe,,natural,sWad,Equator Decaf Rwanda Nyamyumba Natural,16.5,3,30,96,3,30,"[96, 96, 96]",4,25,"[96, 96, 96, 96]"
/blogs/brew-talks/fellows-take-on-dinastia-gesha-by-prodigal-brew-recipe,,,9vT2,"Prodigal, Wilder Lazo Dinastia Gesha",17,2.5,45,99,3,23,"[99, 97, 95]",3,30,"[99, 97, 95]"
/blogs/brew-talks/fellows-take-on-driftaway-coffee-peach-cobbler-brew-recipe,,washed,KJgD,"Driftaway, Peach Cobbler",16.5,2.5,30,93,4,23,"[92, 92, 92, 92]",4,30,"[92, 92, 92, 92]"
/blogs/brew-talks/fellows-take-on-driftaway-coffee-she-roars-brew-recipe,,washed,aJES,"Driftaway, She Roars",16,2.5,30,94,3,23,"[94, 92, 91]",4,30,"[94, 92, 91, 90]"
/blogs/brew-talks/fellows-take-on-driftaway-ratnagiri-rosewater-brew-recipe,,,MsI5,Ratnagiri Rosewater Driftaway,16,2,30,94,3,23,"[94, 94, 93]",3,30,"[94, 94, 93]"
/blogs/brew-talks/fellows-take-on-drink-coffee-do-stuff-official-ski-club-blend-brew-recipe,,,MD9E,Drink Coffee Do Stuff,15.5,2.5,40,93,3,23,"[93, 93, 93]",3,30,"[93, 93, 93]"
/blogs/brew-talks/fellows-take-on-equator-coffees-thailand-mae-chedi-anaerobic-natural-brew-guide,,anaerobic,SMaa,"Equator, Thailand Mae Chedi Anaerobic Natural",16,3,35,96,4,25,"[92, 93.5, 94.5, 92]",3,40,"[93.5, 94.5, 92]"
/blogs/brew-talks/fellows-take-on-equator-holiday-blend-brew-recipe,,,DYo4,"Equator, Holiday Blend 2025",15.5,2.5,35,99,3,23,"[95, 93, 93]",3,30,"[95, 93, 93]"
/blogs/brew-talks/fellows-take-on-estellar-esmeralda-brew-recipe,,washed,9lUd,"Estellar, Esmeralda",15.5,2,50,94,2,23,"[94, 92.5]",2,35,"[94, 92.5]"
/blogs/brew-talks/fellows-take-on-estellar-sidra-valoria-brew-recipe,,,SIrF,"Estellar, Sidra Valoria",16,2.5,40,93,3,23,"[93, 92, 91]",3,30,"[93, 92, 91]"
/blogs/brew-talks/fellows-take-on-ethiopia-bensa-sidamo-by-ona-brew-recipe,,washed,cQKs,"ONA, Ethiopia Sidamo Bensa",15,3,35,94,3,23,"[92, 91, 90]",4,30,"[92, 91, 90, 90]"
/blogs/brew-talks/fellows-take-on-ethiopia-regessa-by-april-brew-guide,,,nX77,"April, Ethiopia Regessa",16.5,3,45,96,3,20,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-ethiopia-tadesse-yonka-gemada-by-camber,,,gVLc,Tadesse Gemeda natural long bloom,16,2,40,98,4,20,"[94, 94, 94, 94]",2,30,"[93, 93]"
/blogs/brew-talks/fellows-take-on-ethiopia-yirgacheffe-adado-natural-by-proud-mary-brew-recipe,,natural,P1Ep,Ethiopia Yirgacheffe Adado Proud Mary,16,2,30,96,3,20,"[93.5, 90.5, 90.5]",3,30,"[93.5, 90.5, 90.5]"
/blogs/brew-talks/fellows-take-on-excelsior-panoramic-brew-recipe,,,9CB2,"Excelsior, Panoramic",16,1.5,30,92,3,23,"[92, 92, 92]",1,30,[92]
/blogs/brew-talks/fellows-take-on-finca-san-antoniol-by-prodigal-brew-recipe,,washed,ZLTv,"Prodigal, Nilson Lopez Washed Gesha",17,2.5,45,99,3,23,"[99, 99, 99]",4,30,"[99, 99, 99, 99]"
/blogs/brew-talks/fellows-take-on-flower-child-el-nevado-decaf-brew-guide,,washed,LGee,"Flower Child, El Nevado Decaf",17,3,60,99,5,23,"[99, 98, 98, 98, 98]",5,30,"[99, 98, 98, 98, 98]"
/blogs/brew-talks/fellows-take-on-flying-jewel-by-utopian-brew-recipe,,,GCL5,"Utopian, Flying Jewel",16,3,50,96.5,3,22,"[96.5, 95.5, 94.5]",4,15,"[94.5, 94.5, 94.5, 94.5]"
/blogs/brew-talks/fellows-take-on-george-howell-coffee-el-meson-colombia-brew-recipe,,,Ddkr,"George Howell Coffee, El Meson Colombia",15.5,2,30,93.5,3,23,"[93.5, 90, 90]",5,30,"[93.5, 90, 90, 90, 90]"
/blogs/brew-talks/fellows-take-on-gitare-ab-by-regalia-coffee-roasters-brew-recipe,,,Sbex,"Regalia, Kenya Gitare AB",16.5,2,40,94,3,23,"[94, 94, 94]",4,30,"[94, 94, 94, 94]"
/blogs/brew-talks/fellows-take-on-guatemala-cuevitas-anaerobic-brew-recipe,,anaerobic,Vn3m,Guatemala Cuevitas Anaerobic Sightglass,15.5,2,45,94,3,23,"[94, 94, 94]",3,30,"[94, 94, 94]"
/blogs/brew-talks/fellows-take-on-guatemala-flor-del-cafe-by-square-mile-brew-recipe,,washed,gypb,"Square Mile, Flor del Cafe",16.5,3,45,94,3,20,"[98, 98, 98]",3,20,"[96, 95, 95]"
/blogs/brew-talks/fellows-take-on-guatemala-la-esperanza-by-linea-brew-guide,,,n4on,"Linea, Guatemala La Esperanza",15.5,2.5,35,94,3,23,"[93, 93, 93]",4,30,"[93, 93, 93, 93]"
/blogs/brew-talks/fellows-take-on-hambela-ea-decaf-by-broadsheet-brew-recipe,,natural,pASV,"Broadsheet, Hambela EA Decaf",15.5,2.5,30,98,3,23,"[98, 96, 96]",5,30,"[98, 97, 96, 95, 94]"
/blogs/brew-talks/fellows-take-on-heart-roasters-colombia-javier-omar-de-la-rosa-brew-recipe,,washed,S1z7,"Heart, Colombia Javier Omar de la Rosa",17,2,45,99,3,20,"[96, 93.5, 90.5]",8,15,"[93.5, 93, 93, 92, 91.5, 91, 90.5, 90]"
/blogs/brew-talks/fellows-take-on-heart-roasters-colombia-san-agustin-decaf-brew-recipe,,,rmMa,"Heart, Colombia San Agustin Decaf",17,2,45,99,3,20,"[96, 93.5, 90.5]",8,15,"[93.5, 93, 93, 92, 91.5, 91, 90.5, 90]"
